"topProjectText","Organization","Metric","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027"
"F135","Air Force","Amount_OMB23_GDP21",,,,,605701441.866416,501165446.705335,507475661.540333,632617758.376437,506098908.528087,386455189.449384,408370527.023526,344282548.205898,281647552.561515,204019786.481491,112797275.387862,193522075.996369,83294360.0953079,111194137.211525,67752362.2259337,57015384.6077043,,,,,,,,,,
"F135","Navy","Amount_OMB23_GDP21",,,,,519681159.42149,692528670.6611,705385878.881351,657972948.618289,461129803.248742,570137377.415982,393506732.872291,278291847.49747,271006722.826408,238431626.533838,207894393.268259,194063245.101635,83586036.3222529,112122966.642559,68800754.7901619,73784615.3438997,,,,,,,,,,
"F136","Air Force","Amount_OMB23_GDP21",,,,,21364244.2586831,132831909.715004,82681187.947507,140385047.079251,234865963.81774,174867737.591158,289372467.226766,288745572.69549,255585587.571985,37633304.6677286,2031951.32184259,,,,,,,,,,,,,,,
"F136","Navy","Amount_OMB23_GDP21",,,,,18330144.9511242,183551971.631423,114925989.258839,146011651.025591,213997093.967433,257982389.748571,278839942.224917,233399977.143443,245929396.011411,43980881.4552604,3745048.67916838,,,,,,,,,,,,,,,
"Aircraft Engine
Component
Improvement Program
(USAF)","Air Force","Amount_OMB23_GDP21",149171219.102494,147165290.825398,232964673.110054,231062031.161935,241074003.455483,249598781.117188,237203145.578316,191356209.154891,191015791.322282,194007006.150286,194335657.078829,179648559.037299,177494134.861862,135799842.947111,157730586.427603,129676618.634658,78570339.7052832,87749724.4461903,81759180.9157474,82320069.9695416,79354091.1177298,77980336.8387584,77269235.2871739,93644000,72103279.9943306,80465157.9032068,3337640.38353207,15408299.7736711,11401652.9565744,42061704.9598601
"Adaptive Engine
Transition
Program/Next Gen
Adaptive Propulsion","Air Force","Amount_OMB23_GDP21",,,,,,,,,,,,,,,,93732992.7173425,54040515.9377254,89102654.4580523,245625581.503903,313570109.883979,602583407.049317,728970166.699652,664942604.316986,642581000,555581880.455827,328839894.771457,688683134.304894,816745790.030273,816271992.679249,814220533.726212
"Aircraft Engine
Component
Improvement Program
(USN)","Navy","Amount_OMB23_GDP21",56386583.5960501,67331061.0834579,55325766.3364974,55348691.3046543,50562757.5046511,40669678.8382158,66330121.0807977,68054166.5824441,85808297.6666863,72761029.6389588,68974695.8465267,71042431.9649682,76892822.59515,59084533.9758003,70101584.2122678,58771377.0545587,66202267.1071774,66042614.8906605,81812384.2925618,97340269.9639841,97538693.218516,107058549.303866,98858187.5742828,106239000,96430546.3218525,103965543.870593,108162823.717591,99539894.7663674,98270809.3988687,97832498.3910135
"Materials for
Structures,
Propulsion, and
Subsystems","Air Force","Amount_OMB23_GDP21",63452059.6321391,65924651.695896,77555994.3718431,92893201.6821019,89191100.0074753,93745866.3627136,87884653.8302192,96180775.0985925,96059979.4929601,89696327.3340784,80820395.4281796,97354080.1145424,131888270.943755,101254454.847944,102627249.61796,69429947.7522355,59978984.8841958,39170279.5437598,60628573.0909869,62456999.9768909,67066909.7873228,87821081.6990106,103196710.980083,109001000,99821839.0142489,49089157.8999041,46438751.8032327,48240597.5413763,48327965.3532312,48450307.1429532
"Turbine Engine
Technology","Air Force","Amount_OMB23_GDP21",50552938.5219894,54840505.9620839,59920618.1169862,60147883.892686,68038256.2199527,51712173.6349792,43744130.732346,45569612.9627125,43159006.8950213,61314833.1513938,74537823.6686812,105161898.451893,73238035.0763572,75712917.9022845,81473031.0142578,104807379.822101,84928179.3817347,62206896.5800312,69514645.4226647,55345839.979522,56804502.4836091,50936876.6630481,51936035.6888844,61176000,65056091.9240237,63363824.5680734,63440624.6368066,63161214.0370081,63063842.2407577,63049540.8517574
"Improved Turbine
Engine Program","Army","Amount_OMB23_GDP21",,,,,,,,,,,,,,,,,,55018410.2433037,54463631.8026257,121685419.954976,178533916.968408,181971572.989951,203163392.824124,232159000,247492980.928345,212033473.70653,186557822.919457,118782025.857179,96690752.8885089,59278561.9364837
"Aircraft Propulsion
Subsystems Int","Air Force","Amount_OMB23_GDP21",35507687.0440575,39653807.2838368,29072544.9557055,49814271.396584,51123058.6784457,48441119.3179933,37527470.1828464,28373558.0607656,41710683.0764823,34767266.9599577,31707009.6406995,54840073.5224239,46282319.1467585,47193655.1957579,19919096.0034858,78996003.5611702,76114666.179458,57317164.3689818,82746768.5978636,19506639.9927825,17414122.3001024,19856375.7896393,18491326.6332867,,11050493.4489819,29360140.3539677,37094995.2732521,39681222.0519938,39688581.9874953,39698773.9657401
"Other Army projects","Army","Amount_OMB23_GDP21",21823513.041009,28281126.8886752,24877379.1782033,27395079.0633512,44794604.3681121,27498061.5206284,24375338.9843876,31266781.1408703,19988433.041996,19121806.5864839,21311228.590355,23498329.5472779,30814284.0787696,23453124.0603688,21228164.2037149,21371824.1009425,21551618.7974246,22569281.7724872,22865259.5896446,20362289.992466,3817231.87558697,27707398.9052411,15753961.6171358,30234000,26369846.7703742,25527403.511459,25493717.3397546,26927592.3848758,26348204.0454821,25775028.461095
