"Fiscal_Year","Contracting_Agency_ID","fundingrequestingagencyid","ContractingOfficeID","fundingrequestingofficeid","PlatformPortfolio","ProjectID","ProductOrServiceCode","ClaimantProgramCode","CompetitionClassification","ClassifyNumberOfOffers","PricingMechanism","research_code","VendorSize","ParentID","dunsnumber","CSIStransactionID","CSIScontractID","idvpiid","idvagencyid","agencyid","PIID","NumberOfActions","Action_Obligation_Then_Year","progsourceagency","progsourceaccount","progsourcesubacct","account_title","rec_flag","treasury_accounts_funding_this_award","federal_accounts_funding_this_award","usaspending_permalink","MainAccountTitle","ContractingAgencyName","Customer","SubCustomer","SubCustomer.sum","SubCustomer.platform","Competition.detail","Competition.sum","Competition.Graph","Competition.effective.only","Competition.multisum","No.Competition.sum","No.Competition.Offer","CompOffr","ProductOrServiceCodeText","SimpleArea","ProductOrServiceArea","ProductServiceOrRnDarea","CrisisProductOrServiceArea","Project.Name","IsUnknown","SubCustomer.JPO","Shiny.VendorSize","Action_Obligation_OMB23_GDP21","dFYear","descriptionofcontractrequirement","recipient_uei","recipient_parent_uei","parentdunsnumber","vendorname","standardizedvendorname","principalnaicscode"
2015,"2100","2100","W911W6","W911W6","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"118276083",41623279,24670375,"W911W609D0012","9700",NA,"0001",1,-40275.2891,21,"2040","",NA,"",NA,NA,NA,"Research, Development, Test and Evaluation, Army","DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",-44921.3910633202,2015-01-01,"LOCUST USA - SBIR PHASE III $40,275.29 DEOBLIGATION.",NA,NA,118276083,"LOCUST USA INC","LOCUST USA",541712
2009,"5700","5700","FA8650","FA8650","Aircraft",NA,"AC13","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small","AEROVIRONMENT","058024456",10858343,10096236,"FA865007D2701","9700",9700,"0005",1,9650,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","DEFENSE AIRCRAFT (ADVANCED)","R&D","R&D","Advanced Technology Development (6.3)","R&D",NA,NA,"Air Force","Small",11844.9059826176,2009-01-01,"ADD WORK",NA,NA,58024456,"AEROVIRONMENT INCORPORATED","AEROVIRONMENT",541710
2018,"1700","1700","N68335","N68335","Aircraft",NA,"6140","A1C","No Competition (Other Exception)","No competition","Firm Fixed Price","SR3","Small",NA,"142784276",97924818,85948734,"","",9700,"N6833518D0002",NA,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/#/award/CONT_IDV_N6833518D0002_9700/",NA,"DEPT OF THE NAVY","Defense","Navy","Navy","Navy","No Comp. (Other)","No Comp.",TRUE,"Not Effective Comp.","No Comp.","No Comp. (Other)","No Comp. (Other)","No Comp.","BATTERIES, RECHARGEABLE","Products","Engines & Power Plants","Engines & Power Plants","Engines & Power Plants",NA,NA,"Navy","Small",0,2018-01-01,"ADMIN","J5KAG8MBP5Q5",NA,142784276,"CORNERTURN, LLC","CORNERTURN",335912
2021,"9763","5700","S0507A","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",110568948,87648281,"FA811720D0025","9700",9700,"FA811721F0190",1,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0190_9700_FA811720D0025_9700/",NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Other DoD","Small",0,2021-01-01,"T-38 RATE OF FLOW TRANSMITTER REPAIR","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2004,"5700","5700","GR06","","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",27964137,9881010,"F3361501D2114","9700",9700,"0004",1,1e+06,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Air Force","Small",1395747.76594065,2004-01-01,"200407!000146!5700!GR06  !AFRL/PRKA AEROSPACE POWER FUELS !F3361501D2114  !A!N! !N!0004         !      !20040423!20070822!196694640!196694640!196694640!N!ADVANCED PROJECTS RESEARCH, IN!1925 MCKINLEY AVE STE B   !LA VERNE            !CA!91750!40830!037!06!LA VERNE            !LOS ANGELES           !CALIFORNIA!+000001000000!N!N!000000000000!AC12!RDTE/AIRCRAFT-APPLIED RESEARCH                    !A1B!AIRCRAFT ENGINES AND SPARES         !000 !*                             !541710!E! !5!B!S! ! ! !99990909!B!A!N!A! !A!N!U!2!001!K!  !Z!Y!Z! !  !N!B!Y!N! ! !Z! !B!A!00 !D!B!N! ! ! ! !    !      !0001! !",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2017,"9763","2100","S1002A","W911W6","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"118276083",70146001,24670375,"W911W609D0012","9700",9700,"0001",1,0,21,"2040","",NA,"",NA,NA,NA,"Research, Development, Test and Evaluation, Army","DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Other DoD","Small",0,2017-01-01,"LOCUST USA - SBIR PHASE III",NA,NA,118276083,"LOCUST USA INC","LOCUST USA",541712
2012,"2100","2100","W911W6","W911W6","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"118276083",19599975,24670375,"W911W609D0012","9700",9700,"0001",1,0,NA,"","",NA,"",NA,NA,NA,NA,"DEPT OF THE ARMY","Defense","Army","Army","Army","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Army","Small",0,2012-01-01,"PERIOD OF PERFORMANCE EXTENSION MODIFICATION TO PHASE III SMALL BUSINESS INNOVATION RESEARCH (SBIR) PROGRAM",NA,NA,118276083,"LOCUST USA INC","LOCUST USA",541712
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107017052,87648129,"FA811720D0025","9700",9700,"FA811721F0009",1,230400,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_AWD_FA811721F0009_9700_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",230400,2021-01-01,"REPAIR OF T-38 RATE OF FLOW TRANSMITTER","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
2009,"9763","5700","S0513A","FA8650","Aircraft",NA,"AC12","A1B","Competition with single offer","One Offer","Cost Plus Fixed Fee","SR3","Small",NA,"196694640",22214098,9881009,"F3361501D2114","9700",9700,"0003",1,-4.15,NA,"","",NA,"",NA,NA,NA,NA,"DEFENSE CONTRACT MANAGEMENT AGENCY (DCMA)","Defense","Other DoD","Other DoD","Other DoD","1 Offer","1 Offer",TRUE,"Not Effective Comp.","1 Offer","1 Offer","1 Offer","1 Offer","R&D- DEFENSE SYSTEM: AIRCRAFT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)","R&D","R&D","Applied Research (6.2)","R&D",NA,NA,"Other DoD","Small",-5.09392329822416,2009-01-01,"RD",NA,NA,196694640,"ADVANCED PROJECTS RESEARCH, IN","ADVANCED PROJECTS RESEARCH",541710
2021,"5700","5700","FA8117","F3YCAB","Aircraft",NA,"J066","A1B","Limited Competition with multiple offers","Two Offers","Firm Fixed Price","SR3","Small",NA,"010996890",107016986,87648085,"","",9700,"FA811720D0025",NA,0,NA,NA,NA,NA,NA,"","","https://www.usaspending.gov/award/CONT_IDV_FA811720D0025_9700/",NA,"DEPT OF THE AIR FORCE","Defense","Air Force","Air Force","Air Force","2 Offers","2 Offers",TRUE,"Effective Comp.","2+ Offers","2+ Offers","2-4 Offers","2-4 Offers","MAINT-REP OF INSTRUMENTS & LAB EQ","Services","ERS","ERS","ERS",NA,NA,"Air Force","Small",0,2021-01-01,"MOD TO EXERCISE OPTION YEAR I FOR TGH.","Z2X6JNJKXEP8","Z2X6JNJKXEP8",10996890,"GYRO HOUSE, THE","GYRO HOUSE",336413
