CSIStransactionID	descriptionofcontractrequirement	recipient_uei	recipient_parent_uei	parentdunsnumber	vendorname	standardizedvendorname	principalnaicscode
33019686	"THIS MODIFICATION IS TO CONFIRM THE GOVERNMENT'S DISAPPROVAL OF THE CONTRACTOR'S FIRST ARTICLES, TO ESTABLISH A DATE FOR RESUBMITTAL OF CORRECTED FIRST ARTICLES, TO ESTABLISH A NEW (TENTATIVE) DATE FOR DELIVERY OF THE PRODUCTION ARTICLES, AND TO REDUCE THE CONTRACT PRICE AS CONSIDERATION TO THE GOVERNMENT FOR THE EXPENSE AND DELAY ASSOCIATED WITH THE RE-SUBMITTAL OF THE FIRST ARTICLES."	NULL	NULL	18478292	POLAMER PRECISION INC	POLAMER PRECISION	336412
23219335	SBIR PHASE I AWARD	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
65173688	IGF::OT::IGF SBIR PHASE II - TOPIC AF 121-214 WIRELESS EDDY CURRENT TESTING INSTRUMENT	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
59461913	IGF::OT::IGF SBIR PHASE II - TOPIC AF 121-214 WIRELESS EDDY CURRENT TESTING INSTRUMENT	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
3683520	PHASE II SBIR AWARD	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
17458954	OTHER AIRCRAFT PART AND AUXILIARY EQUIPMENT MANUFACTURING	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	336413
67033765	"IGF::OT::IGF SBIR PHASE I TOPIC AF161-009 HIGH CONFIDENCE, RAPID ALLOY IDENTIFICATION"	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
37764156	"IGF::OT::IGF SBIR PHASE II AF TOPIC 103-241 FASTENER HOLE ET, INCLUDING HOLES WITH NUT PLATES"	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
45199149	IGF::OT::IGF SBIR PHASE II- TOPIC: AF121-214 - WIRELESS EDDY CURRENT TESTING INSTRUMENT	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
45199150	IGF::OT::IGF SBIR PHASE II AF TOPIC WIRELESS EDDY CURRENT TESTING INSTRUMENT	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
41364121	"IGF::OT::IGF SBIR PHASE II AF TOPIC 103-241 FASTENER HOLE ET, INCLUDING HOLES WITH NUT PLATES"	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
42068955	IGF::OT::IGF SBIR PHASE II AF TOPIC AF12-214 WIRELESS EDDY CURRENT TESTING INSTRUMENT	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
34086929	SBIR PHASE II TOPIC AF103-241 IMPROVED NUT PLATE FASTENER HOLE EDDY CURRENT PROBE	QEZ7G6S28R31	NULL	18791827	"JENTEK SENSORS, INC."	JENTEK SENSORS	541712
59164175	IGF::OT::IGF CORRECT PAYMENT OFFICIAL DODAAC IN CLAUSE DFARS 252.232-7006.	NULL	NULL	19652846	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	541712
61968859	"IGF::OT::IGF ADD THE ""SHIP TO"" CODE, CORRECT THE SPELLING OF THE SBIR ENGINEERING LEAD, AND CORRECT THE NAME OF THE SBIR TECHNICAL POINT OF CONTACT."	NULL	NULL	19652846	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	541712
60869797	IGF::OT::IGF MULTI-LAYER DEEP STRUCTURE NDI	NULL	NULL	19652846	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	541712
60869308	IGF::OT::IGF MULTI-LAYER DEEP STRUCTURE NDI	NULL	NULL	19652846	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	AJM INTERNATIONAL ELECTRONICS CONSULTANTS	541712
13376681	DELIVERY DATE EXTENSION	NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541712
16165806	DELIVERY DATE EXTENSION	NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541712
31556587	200411!000297!5700!GR14 !AFRL/PRKB ADVANCED PROPULSION !FA865004C2503 !A!N! !Y! ! !20040824!20061215!019677178!019677178!019677178!N!FOSTER-MILLER INC !350 SECOND AVE !WALTHAM !MA!02451!72600!017!25!WALTHAM !MIDDLESEX !MASS !+000000375000!N!N!000000749975!AC16!RDTE/AIRCRAFT-MANAGEMENT SUPPORT !A1B!AIRCRAFT ENGINES AND SPARES !000 !* !541710!E! !3! ! ! ! ! !99990909!B! ! !A! !A!N!U!2!001!K! !Z!Y!Z! ! !N!B!N!N! ! !Z! !B!A!00 !C!B!N! ! ! ! ! ! !0001! !	NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541710
4278297		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541710
2753862		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541710
19125542		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541710
18382920		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	
31371401		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541710
2039826		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	
11048090		NULL	NULL	733131788	FOSTER-MILLER INC	FOSTER MILLER	541710
16398920		NULL	NULL	20194556	INORGANIC SPECIALISTS INC	INORGANIC SPECIALISTS	
10567862	FIBER-COUPLED PULSED AND HIGH-INTENSITY ULTRAVIOLET OPTICAL MEASUREMENTS FOR PROPULSION SYSSTEMS	NULL	NULL	20735066	"SEAFORTH, LLC"	SEAFORTH	541712
12008838	INCREMENTAL FUNDING -- WILL FULLY FUND SBIR I	E7PVK58C6UJ5	NULL	21804661	ADVANCED FUEL RESEARCH INCORPORATED	ADVANCED FUEL RESEARCH	541712
29150810		E7PVK58C6UJ5	NULL	21804661	ADVANCED FUEL RESEARCH INC	ADVANCED FUEL RESEARCH	541710
43731999	IGF::OT::IGF PHASE I SBIR AF TOPIC F151-159 MULTI-LAYER DEEP STRUCTURE NDI	NULL	NULL	23881274	"INNOVATIVE MATERIALS TESTING TECHNOLOGIES, INC."	INNOVATIVE MATERIALS TESTING TECHNOLOGIES	541712
43731715	IGF::OT::IGF PHASE I SBIR AF TOPIC F151-159 MULTI-LAYER DEEP STRUCTURE NDI	NULL	NULL	23881274	"INNOVATIVE MATERIALS TESTING TECHNOLOGIES, INC."	INNOVATIVE MATERIALS TESTING TECHNOLOGIES	541712
18143468		NULL	NULL	24355802	"CONCEPTS ETI, INC"	CONCEPTS ETI	541330
35468363	ADDITIONAL WORK AND FUNDING AGAINST PHASE III SBIR CONTRACT FOR STEM PROJECT	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
34594921	STEM PROJECT - MIPR FROM THE AFRL TO SUPPORT THE EDUCATION OUTREACH PROGRAM FOR THE NATIONAL EDUCATION DEFENSE PROGRAM (NDEP)	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
36449220	SBIR PHASE II  TOPIC AF093-193 MULTI ATTRIBUTE RELIABILITY AND MAINTAINABILITY ENGINEERING ASSESSMENT METHODOLOGY	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
36499383	"IGF::OT::IGF SBIR PHASE II TOPIC AF112-208, PROACTIVE METHODOLOGY FOR IDENTIFYING PROBLEM AEROSPACE PARTS"	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
41750102	IGF::OT::IGF SBIR PHASE II TOPIC AF112-208 PROACTIVE METHODOLOGY IDENTIFYING PROBLEM PARTS	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
43731586	IGF::OT::IGF PHASE I SBIR AF TOPIC 151-162 NON-DESTRUCTIVE INSPECTION DATA CAPTURE.	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
34687347	2ND YEAR INCREMENTAL FUNDING FOR SBIR PHASE II CONTRACT	YSC7Q9EN6JD5	NULL	24384633	"ANAUTICS, INC."	ANAUTICS	541712
