Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2019,FY 2020,FY 2021 Base,FY 2021 OCO,FY 2021 Total,FY 2022,FY 2023,FY 2024,FY 2025,Program Element Name,Organization,Notes
5,PE,0602102F,,Materials,2,"This program develops advanced materials, processing, and inspection technologies to reduce life cycle costs and improve performance, sustainability, availability, affordability, supportability, reliability, and survivability of current and future Air Force systems and operations. The program has three projects that develop: structural, propulsion, and sub-systems materials and processes technologies; electronic, optical, and survivability materials and processes technologies; and sustainment materials, processes technologies, and advanced non-destructive inspection methodologies. Efforts in the program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0,172.109,215.851,140.781,0,140.781,132.522,127.914,130.928,133.385,Materials,USAF,
5,Project,0602102F,624347,"Materials for Structures, Propulsion, and Subsystems",2,"This project develops the materials and processing technology base for aircraft, spacecraft, launch systems, and missiles to improve affordability, maintainability, and performance of current and future Air Force systems. A family of affordable lightweight materials is being developed, including metals, polymers, ceramics, metallic and nonmetallic composites, and hybrid materials to provide upgraded capabilities for existing aircraft, missile, and propulsion systems to meet the future system requirements. The project develops high-temperature turbine engine materials that will enable engine designs to improve turbine engine thrust-to-weight ratio, specific fuel consumption and affordability. Advanced high temperature protection materials are being developed that are affordable, lightweight, dimensionally stable, thermally conductive, and/or ablation and erosion resistant to meet aerospace and missile requirements. Alternative or replacement materials are being developed to maintain the performance of aging operational systems. The project concurrently develops advanced processing methods to enable adaptive processing of aerospace materials.",0,83.861,103.844,53.433,0,53.433,48.23,46.714,47.852,48.761,Materials,USAF,
6,PE,0602201F,,Aerospace Vehicle Technologies,2,"This program investigates, develops, and analyzes aerospace vehicle technologies in the six primary areas of high speed systems, power and flight control technologies, rocket propulsion, turbine engine technologies, fuel sciences, and  aeromechanics and structure systems. The effort has six projects, each focusing on a technology area critical to the Air Force. The High Speed Systems Technology project develops high speed/hypersonic aerospace vehicles as well as high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Air Force. The Power and Flight Control Technologies project develops technologies that enable maximum affordable capability from manned, remotely-piloted and autonomous aerospace vehicles while developing electrical and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Turbine Engine Technology project develops and enables advanced engine architectures across small, medium, large thrust classes; to provide optimized performance, fuel efficiency, and integrated propulsion, power, and thermal capability, while enhancing affordability. Includes technology concepts for legacy and future, advanced turbine engines. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. The Aeromechanics and Structures project develops and exploits new  materials, fabrication processes, design techniques, and incorporating vehicle, inter-vehicle, and intra-vehicle control systems. Advanced aerodynamic vehicle configurations are developed and analyzed through simulations, experiments, and multi-disciplinary analyses.   In FY 2021, the Aerospace Systems RDT&E Budget Activity 02 (BA02) efforts and activities under PE 0602203F, Aerospace Propulsion, and PE 0602201F, Aerospace Vehicle Technologies, are realigned and consolidated into PE 0602201F, Aerospace Vehicle Technologies, to increase the efficiency and effectiveness of internal Air Force Research Laboratory Aerospace Systems Technology Directorate operations to finalize the 2012 merger of the Air Vehicles Directorate and Propulsion Directorate; and to better support the National Defense Strategy, Air Force Future Operating Concept, and the Air Force Science and Technology Strategy, April 2019.  All transfers detailed below are administrative realignments for consolidation, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located either in Wright Patterson Air Force Base, OH or Edwards Air Force Base, CA.    In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0603216F, Aerospace Propulsion & Power Technology, Project 632480, Aerospace Fuels is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 624847 , Rocket Propulsion Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 624847, Rocket Propulsion Technology.  In FY 2021, the entirety of PE 0602201F, Aerospace Vehicle Technologies, Project 622403, Flight Controls & Pilot-Vehicle Interface is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622406, Aerospace Power & Flight Control Technology.  In FY 2021, the entirety of Program Element 0602201F, Aerospace Vehicle Technologies, Project 622404, Aeromechanics & Integration, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622401, Aeromechanics & Structures Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623012, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0,150.625,157.724,349.225,0,349.225,357.519,342.564,350.533,355.874,Aerospace Vehicle Technologies,USAF,
6,Project,0602201F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. The project investigates advanced propulsion, power, and thermal management system for subsonic, supersonic, or hypersonic vision systems for the 2025-2035 timeframe to:  Develop and demonstrate propulsion technologies for subsonic expendable and attritable air platforms; develop and validate targeted life component design, materials, and modeling tools for all engine classes; develop advanced turbine engine technologies to enable significantly increased range and dash speed; investigate durability, efficiency, and specific power with reduced cost of ownership for reusable engines; develop pervasive, hydrocarbon fueled pressure gain propulsion technologies that offer increased efficiency, reduced propulsion system volume/weight, and truly disruptive vehicle performance to the warfighter; evaluate lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pressure gain propulsion, and combined cycle engines; analysis for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive air superiority, strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In addition, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology. These transfers support internal Technology Directorate operations and realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept, and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0,0,0,73.887,0,73.887,73.705,70.86,72.425,73.523,Aerospace Vehicle Technologies,USAF,
6,Project,0602201F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pressure gain propulsion and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), unique/alternate fuels and components used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology. In addition, the entirety of Project 632480, Aerospace Fuels in PE 0603216F, Propulsion & Power Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology. These transfers realign and consolidation Aerospace Fuel research and realign technology areas to better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0,0,0,7.552,0,7.552,7.644,7.496,7.658,7.786,Aerospace Vehicle Technologies,USAF,
8,PE,0602203F,,Aerospace Propulsion,2,"This effort develops propulsion and power technologies to achieve enabling and revolutionary aerospace technology capabilities. The effort has six projects, each focusing on a technology area critical to the Air Force. The Advanced Propulsion Technology project develops high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies to enable revolutionary propulsion capability for the Air Force. The Combustion and Mechanical Systems project develops engine mechanical system technologies: bearings, seals, drives, and lubricants as well as combustion components, concepts, and technologies for legacy and advanced turbine engines. The Turbine Engine Technology project develops enabling capabilities to enhance performance and affordability of existing weapon systems and develops component technologies for ultra high pressure ratio, substantially improved durability, and adaptive cycle engine architecture to provide optimized performance, fuel efficiency, and life for widely varying mission needs. The Aerospace Power Technology project develops electrical power and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Rocket Propulsion Technology project develops advances in rocket propulsion technologies for space access, space maneuver, missiles, the sustainment of strategic systems, and tactical rockets. The Aerospace Fuel Technology project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation, and combined-cycle engines. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  In FY 2021, the Aerospace Systems RDT&E Budget Activity 02 (BA02) efforts and activities under PE 0602203F, Aerospace Propulsion, and PE 0602201F, Aerospace Vehicle Technologies, are realigned and consolidated into PE 0602201F, Aerospace Vehicle Technologies, to increase the efficiency and effectiveness of internal Air Force Research Laboratory Aerospace Systems Technology Directorate operations to finalize the 2012 merger of the Air Vehicles Directorate and Propulsion Directorate; and to better support the National Defense Strategy, Air Force Future Operating Concept, and the Air Force Science and Technology Strategy, April 2019.  All transfers detailed below are administrative realignments for consolidation, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located either in Wright Patterson Air Force Base, OH or Edwards Air Force Base, CA.    In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.   In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 625330, Aerospace Fuel Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 624847 , Rocket Propulsion Technology, is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 624847, Rocket Propulsion Technology.  In FY 2021, the entirety of PE 0602203F, Aerospace Propulsion, Project 623012, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology.   This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.  The use of such program funds would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602102F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0,202.638,226.775,0,0,0,0,0,0,0,Aerospace Propulsion,USAF,
8,Project,0602203F,623012,Advanced Propulsion Technology,2,"This project develops combined/advanced cycle air breathing high-speed (up to Mach 5) and hypersonic (Mach 5 to 7) propulsion technologies to provide revolutionary propulsion options for the Air Force. These new engine technologies will enable future high-speed/hypersonic weapons and aircraft concepts. The primary focus is on hydrocarbon-fueled engines capable of operating over a broad range of flight Mach numbers. Efforts include modeling, simulations, and proof of concept demonstrations of critical components; advanced component development; and ground-based demonstrations.  In FY 2021, the entirety of Project 620312, Advanced Propulsion Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 622405, High Speed Systems Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0,24.875,29.802,0,0,0,0,0,0,0,Aerospace Propulsion,USAF,
8,Project,0602203F,623048,Combustion and Mechanical Systems,2,"This project evaluates lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pulse detonation engines, and combined cycle engines. This project also develops technologies to increase turbine engine operational reliability, durability, mission flexibility, maintainability, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include:  missiles, aircraft, and re-usable high-speed vehicles. Analytical and experimental areas of emphasis include:  lubricants, bearings, mechanical systems diagnostics, mechanical systems prognostics, rotor dynamics, oil-less engine technology, optical diagnostics, fundamental combustion, detonations, combustors, and afterburners. Lubricants for these engines must be thermally stable, cost-effective, and operate over a broad range of conditions. Advanced combustion concepts must be cost-effective, durable, and reduce pollutant emissions. A portion of this project supports adaptive cycle technologies. Adaptive cycle technologies develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  In FY 2021, the entirety of Project 623048, Combustion & Mechanical Systems is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0,9.92,11.134,0,0,0,0,0,0,0,Aerospace Propulsion,USAF,
8,Project,0602203F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. This project develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs. This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).  In FY 2021, the entirety of Project 623066, Turbine Engine Technology is transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 623066, Turbine Engine Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0,48.64,56.582,0,0,0,0,0,0,0,Aerospace Propulsion,USAF,
8,Project,0602203F,625330,Aerospace Fuel Technology,2,"This project evaluates hydrocarbon-based fuels for legacy and advanced turbine engines, scramjets, pulse detonation and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of alternative fuels developed from unconventional sources (such as coal, natural gas, biomass, and combinations thereof), unique/alternate fuels and components used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.  In FY 2021, the entirety of Project 625330, Aerospace Fuel Technology was transferred to PE 0602201F, Aerospace Vehicle Technologies, Project 625330, Aerospace Fuel Technology in order to realign technology areas that better support the National Defense Strategy, Air Force Future Operating Concept and Air Force Science and Technology Strategy, April 2019.  This is an administrative realignment for consolidation, and not a new start.",0,4.216,4.742,0,0,0,0,0,0,0,Aerospace Propulsion,USAF,
