PByear,PE,PE Title,BA,Cost Categories,Contractor or Government Performing Activity,Contract Method/Type or Funding Vehicle,Award or Obligation Date,Performing Activity EAC,Project Office EAC,Total Prior FY 2000,Budget FY 2000,Budget FY 2001,Budget FY 2002,Budget to Complete,Total Program
2002,603800,Joint Strike Fighter,4,Product Development Organizations: Weapon System Concept Demonstrations (Note 1):,Pratt & Whitney,SS/CPFF,Nov 98/99/00,"954,076","954,076","750,071","87,019","127,694",0,0,"964,784"
2002,603800,Joint Strike Fighter,4,Transition Risk Reduction Activities,"Pratt & Whitney,East Hartford CT",SS/CPFF,1-Apr,,,,,"85,334",,,"85,334"
2002,603800,Joint Strike Fighter,4,F-120 Engine Program,"GE, Cincinnati OH",SS/CPFF,Nov 98/Ot 99/ Oct 00,"7,000","7,000","7,000",0,0,0,0,"7,000"
2002,603800,Joint Strike Fighter,4,F-120 Engine Program,"GE, Cincinnati OH",SS/CPFF,,"183,728","183,728","103,397","34,710","45,620",0,0,"183,727"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Pratt/Whitney,C/CPFF,,"5,448","5,448","5,448",0,0,0,0,"5,448"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,GE,SS/CPFF,,"5,681","5,681","5,681",0,0,0,0,"5,681"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Pratt/Whitney,SS/CPFF,,"30,000","30,000","30,000",0,0,0,0,"30,000"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,GE,SS/CPFF,,"3,000","3,000","3,000",0,0,0,0,"3,000"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Pratt/Whitney,SS/CPFF,Jan-99,"26,777","26,777","26,777",0,0,0,0,"26,777"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Pratt & Whitney,SS/CPFF,,"3,640","3,640","3,640",0,0,0,0,"3,640"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Pratt & Whitney,SS/TBD,Dec-98,"8,200","8,200","8,200",0,0,0,0,"8,200"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Various,NASA Contract,Jul-99,"2,800","2,800","2,800",0,0,0,0,"2,800"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Various,Miscellaneous,Various,"14,845","14,845","14,699",96,50,0,0,"14,845"
2002,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Various,Fld. Activ.,Nov 98/99/00,"51,011","51,011","39,873","8,020","2,990",0,0,"50,883"
2002,603800,Joint Strike Fighter,4,AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training),Pratt & Whitney,C/CPFF,,"10,100","10,100","10,100",0,0,0,0,"10,100"
2002,603800,Joint Strike Fighter,4,AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training),General Electric,C/CPFF,Jan-99,"1,500","1,500","1,500",0,0,0,0,"1,500"
