PByear,PE,PE Title,BA,Cost Categories,Contract Method & Type,Performing Activity & Location,Award or Obligation Date,Performing Activity EAC,Project Office EAC,Total PY's Cost,FY 2001 Cost,FY 2002 Cost,FY 2003 Cost,Cost to Complete,Total Cost,Target Value of Contract
2003,603800,Joint Strike Fighter,4,Weapon System Concept Demonstrations (including flying demonstrators and supporting propulsion efforts),SS/CPFF,"Pratt & Whitney *, Hartford, CT",Oct,,,836.961,122.694,,,,959.655,997.045
2003,603800,Joint Strike Fighter,4,Transition Risk Reduction Activities,SS/CPFF,Pratt & Whitney,1-Apr,,,,52.675,,,,52.675,52.675
2003,603800,Joint Strike Fighter,4,Transition Risk Reduction Activities,SS/CPAF,Pratt & Whitney,1-Nov,,,,24.325,,,,24.325,
2003,603800,Joint Strike Fighter,4,GE Engine Program,SS/CPFF,"GE, Cincinnati OH",,,,7,,,,,7,
2003,603800,Joint Strike Fighter,4,GE Engine Program,SS/CPFF,GE,Oct-00,,,138.263,111.064,,,,249.327,186.727
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,C/CPFF,Pratt/Whitney,,,,5.448,,,,,5.448,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,SS/CPFF,GE,,,,5.681,,,,,5.681,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,SS/CPFF,Pratt/Whitney,,,,30,,,,,30,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,SS/CPFF,GE,,,,3,,,,,3,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,SS/CPFF,Pratt/Whitney,,,,26.777,,,,,26.777,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,SS/CPFF,Pratt & Whitney,,,,3.64,,,,,3.64,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,SS/TBD,Pratt & Whitney,,,,8.2,,,,,8.2,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,NASA Contract,Various,,,,2.8,,,,,2.8,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Miscellaneous,Various,Various,,,14.795,0.05,,,,14.845,
2003,603800,Joint Strike Fighter,4,Technology Maturation: Propulsion,Fld. Activ.,Various,Nov-00,,,47.893,3.749,,,,51.642,
2003,603800,Joint Strike Fighter,4,AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training),C/CPFF,Pratt & Whitney,,10.10,10.10,10.10,0.00,0.00,0.00,0.00,10.10,
2003,603800,Joint Strike Fighter,4,AUTONOMIC LOGISTICS (formerly Prognostics and Health Management / Supportability and Training),C/CPFF,General Electric,Jan-99,1.50,1.50,1.50,0.00,0.00,0.00,0.00,1.50,
