Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2021,FY 2022,FY 2023 Base,FY 2023 OCO,FY 2023 Total,FY 2024,FY 2025,FY 2026,FY 2027,Program Element Name,Organization
5,PE,0602102F,,Materials,2,"This program develops advanced materials, processing, and inspection technologies to reduce life cycle costs and improve performance, sustainability, availability, affordability, supportability, reliability, and survivability of current and future Department of the Air Force systems and operations. The program has three projects that develop: structural, propulsion, and sub-systems materials and processes technologies; electronic, optical, and survivability materials and processes technologies; and sustainment materials, processes technologies, and advanced non-destructive inspection methodologies. Efforts in the program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication. This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.   Funds in this PE may be used to investigate specified technology advancements in air, space and/or cyber domains.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science and technology capabilities.  The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0,228.115,220.96,134.795,0,134.795,135.031,139.922,134.785,138.457,Materials,USAF
5,Project,0602102F,624347,"Materials for Structures, Propulsion, and Subsystems",2,"This project develops the materials and processing technology base for aircraft, spacecraft, launch systems, and missiles to improve affordability, maintainability, and performance of current and future Department of the Air Force systems. A family of affordable lightweight materials is being developed, including metals, polymers, ceramics, metallic and nonmetallic composites, and hybrid materials to provide upgraded capabilities for existing aircraft, missile, and propulsion systems to meet the future system requirements. The project develops high-temperature turbine engine materials that will enable engine designs to improve turbine engine thrust-to-weight ratio, specific fuel consumption and affordability. Advanced high temperature protection materials are being developed that are affordable, lightweight, dimensionally stable, thermally conductive, and/or ablation and erosion resistant to meet aerospace and missile requirements. Alternative or replacement materials are being developed to maintain the performance of fielded operational systems. The project concurrently develops advanced processing methods to enable adaptive processing of aerospace materials.",0,109.001,104.876,52.794,0,52.794,51.077,54.207,55.514,56.879,Materials,USAF
6,PE,0602201F,,Aerospace Vehicle Technologies,2,"This program investigates, develops, and analyzes aerospace vehicle technologies in the primary areas of high speed systems, flight control technologies, aeromechanics, structure systems and nuclear system technology. The effort has five current projects, each focusing on a technology area critical to the Department of the Air Force. The High Speed Systems Technology project develops component level vehicle technologies for expendable and reusable high speed/hypersonic aerospace systems. The Flight Controls and Pilot-Vehicle Interface project develops technologies that enable maximum affordable capability from manned, remotely-piloted and autonomous aerospace vehicles.  The Aeromechanics and Integration project designs advanced aerodynamic vehicle configurations that are developed and analyzed through simulations, experiments, and multi-disciplinary analyses.  It also develops design techniques, incorporating vehicle, inter-vehicle, and intra-vehicle control systems. The Structures project develops and exploits new materials, and fabrication processes.  The Nuclear System Technology project provides science and technology to preserve nuclear deterrence for future generations.   Funds in this program element may be used to investigate specified technology advancements in air, space and/or cyber domains.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this program element would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020F, 0602102F, 0602203F,0602202F, 0602204F, 0602602F, 0602605F, 0602788F, 0602298F, and 1206601SF.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0,148.576,183.032,159.453,0,159.453,163.842,166.249,169.389,173.108,Aerospace Vehicle Technologies,USAF
6,Project,0602201F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, adaptive cycle technologies, and structural design. The project investigates advanced propulsion, power, and thermal management system for subsonic, supersonic, or hypersonic vision systems for the 2025-2035 timeframe to:  Develop and demonstrate propulsion technologies for subsonic expendable and attritable air platforms; develop and validate targeted life component design, materials, and modeling tools for all engine classes; develop advanced turbine engine technologies to enable significantly increased range and dash speed; investigate durability, efficiency, and specific power with reduced cost of ownership for reusable engines; develop pervasive, hydrocarbon fueled pressure gain propulsion technologies that offer increased efficiency, reduced propulsion system volume/weight, and truly disruptive vehicle performance to the warfighter; evaluate lubricants, mechanical systems, and combustion concepts for advanced turbine engines, pressure gain propulsion, and combined cycle engines; analysis for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs.  This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive air superiority, strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).",0,2.924,0,0,0,0,0,0,0,0,Aerospace Vehicle Technologies,USAF
8,PE,0602203F,,Aerospace Propulsion,2,"This effort develops propulsion and power technologies to achieve enabling and revolutionary aerospace technology capabilities. The effort has six current projects, each focusing on a technology area critical to the Department of the Air Force. The Advanced Propulsion Technology project develops high-speed air breathing propulsion engines to include combined cycle, ramjet, and hypersonic scramjet technologies. The Combustion and Mechanical Systems project develops engine mechanical system technologies: bearings, seals, drives, and lubricants as well as combustion components, concepts, and technologies for legacy and advanced turbine engines. The Turbine Engine Technology project develops enabling capabilities to enhance performance and affordability of existing weapon systems and develops component technologies for ultra-high pressure ratio, substantially improved durability, and adaptive cycle engine architecture to provide optimized performance, fuel efficiency, and life for widely varying mission needs. The Aerospace Power Technology project develops electrical power and thermal control technologies for military applications that remove operational limitations and enable advanced vehicle designs and high-power mission systems. The Missile Rocket Propulsion project develops advances in rocket propulsion technologies for tactical missiles and the sustainment of strategic systems. The Aerospace Fuel Technology project evaluates fuels and related technologies for legacy and advanced turbine engines, scramjets, rotating detonation engines and combined-cycle engines. Efforts in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this program element would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020F, 0602102F, 0602201F,0602202F, 0602204F, 0602602F, 0602605F, 0602788F, 0602298F, and 1206601SF.  Funds in this program element may be used to investigate specified technology advancements in air, space and/or cyber domains.  All transfers detailed below are administrative realignments due to the stand up of the United States Space Force, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, OH, Edwards Air Force Base, CA, or Arnold Air Force Base, TN.  In FY 2022, the work and funding associated with space technology research in Program 0602203F, Aerospace Propulsion, Project 624847, Rocket Propulsion Technology, are transferred to Appropriation 3620F, Research, Development, Test & Evaluation, Space Force, Program 1206601SF, Project 624847, Rocket Propulsion Technology, due to the creation of a new Appropriation for Space Force.  In FY 2022, the work and funding associated with missile rocket propulsion technologies in Program 0602203F, Aerospace Propulsion are transferred from Project 624847, Rocket Propulsion Technology to Project 625171, Missile Rocket Propulsion Technology due to the creation of a new Appropriation for Space Force.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0,190.732,190.683,172.861,0,172.861,174.787,176.98,180.725,184.647,Aerospace Propulsion,USAF
8,Project,0602203F,623012,Advanced Propulsion Technology,2,"This project develops combined/advanced cycle air breathing high-speed and hypersonic propulsion technologies to provide revolutionary propulsion options for the Air Force. These new engine technologies will enable future high-speed/hypersonic weapons and aircraft concepts. The primary focus is on hydrocarbon-fueled engines capable of operating over a broad range of flight Mach numbers. Efforts include modeling, simulations, and proof of concept demonstrations of critical components; advanced component development; and ground-based demonstrations.",0,8.338,17.679,17.358,0,17.358,17.674,18.021,18.402,18.802,Aerospace Propulsion,USAF
8,Project,0602203F,623048,Combustion and Mechanical Systems,2,"This project evaluates lubricants, mechanical systems, and combustion concepts for advanced turbine engines, rotating detonation engines, and combined cycle engines. This project also develops technologies to increase turbine engine operational reliability, durability, mission flexibility, maintainability, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include: missiles, aircraft, and re-usable high-speed vehicles. Analytical and experimental areas of emphasis include: lubricants, bearings, mechanical systems diagnostics, mechanical systems prognostics, rotor dynamics, oil-less engine technology, optical diagnostics, fundamental combustion, detonations, combustors, and afterburners. Lubricants for these engines must be thermally stable, cost-effective, and operate over a broad range of conditions. Advanced combustion concepts must be cost-effective, durable, and reduce pollutant emissions. A portion of this project supports evaluation of technologies for future conceptual cycles. This project develops component technologies for future conceptual engine cycles and architectures that provide both optimized performance and fuel efficiency for widely varying mission needs.  In FY2023, Combustion Technologies, Diagnostic Technologies, and Bearing Technologies efforts in this Project will transfer to Program 0602203F, Aerospace Propulsion, Project 623066, Turbine Engine Technology, in order to effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0,3.481,11.345,4.659,0,4.659,4.756,4.858,4.961,5.065,Aerospace Propulsion,USAF
8,Project,0602203F,623066,Turbine Engine Technology,2,"This project develops technology to increase turbine engine operational reliability, durability, mission flexibility, and performance, while reducing weight, fuel consumption, and cost of ownership. Analytical and experimental areas of emphasis are fans and compressors, high temperature combustors, turbines, internal flow systems, controls, augmentor and exhaust systems, integrated power and thermal management systems, engine inlet integration, mechanical systems, conceptual cycle technologies, and structural design. This project develops component technology for an adaptive cycle engine architecture that provides both optimized performance and fuel efficiency for widely varying mission needs. This project supports joint Department of Defense, agency, and industry efforts to focus turbine propulsion technology on national needs. The project plan is relevant across capability areas for global responsive strike, tactical and global mobility, responsive space lift, and persistent intelligence, surveillance, and reconnaissance (ISR).  In FY2023, Combustion Technologies, Diagnostic Technologies, and Bearing Technologies efforts will transfer from PE 0602203F, Aerospace Propulsion, Project 623048, Combustion and Mechanical Systems, to this Project 623066 Turbine Engine Technology, in order to effectively and efficiently align resources to Aerospace Systems Core Technical Competencies.",0,58.252,68.35,68.146,0,68.146,69.777,70.973,72.441,74.018,Aerospace Propulsion,USAF
8,Project,0602203F,625330,Aerospace Fuel Technology,2,"This project evaluates fuels for legacy and advanced turbine engines, scramjets, detonation, and combined cycle engines. This project also considers fuel related concepts that can increase turbine engine operational reliability, durability, mission flexibility, energy efficiency, and performance while reducing weight, fuel consumption, and cost of ownership. Applications include missiles, aircraft, sustained high-speed vehicles, hypersonic, and responsive space launch. Analytical and experimental areas of emphasis include evaluations of fuel properties and characteristics of traditional fuels and alternative fuels developed from unconventional sources, specialty fuels, and components development used in integrated thermal and energy management systems including high heat sink fuel capability, fuels logistics and associated vulnerabilities, and combustion diagnostics and engine emissions measurements.",0,6.295,8.638,8.46,0,8.46,8.657,8.811,8.997,9.193,Aerospace Propulsion,USAF
21,PE,0603216F,,Aerospace Propulsion and Power Technology,3,"This program develops and demonstrates technologies to achieve enabling and revolutionary advances in turbine, advanced-cycle, rocket, and space propulsion as well as electrical power, thermal management, and fuels.  The program has five current projects, each focusing on technologies with a high potential to enhance the performance of existing and future Air Force weapon systems.  The Aerospace Power Technology project develops and demonstrates adaptive power and thermal management components, controls, and systems for high-power payloads and aircraft as part of energy-optimized aircraft development.  The Aircraft Propulsion Subsystems Integration project develops demonstrator engines by integrating the engine cores demonstrated in the Advanced Turbine Engine Gas Generator project with low-pressure components.  The Advanced Aerospace Propulsion project develops the scramjet propulsion cycle to a technology readiness level appropriate for in-flight demonstration and for full integration with other engine cycles (including turbine and rocket based).  The Advanced Turbine Engine Gas Generator project develops and demonstrates core turbine engine technologies for current and future aircraft propulsion systems. The Missile Rocket Propulsion project develops and demonstrates innovative rocket propulsion technologies, propellants, and manufacturing techniques.  All transfers detailed below are administrative realignments due to the stand up of the United States Space Force, and not new starts. This work will continue to be executed by the Air Force Research Laboratory Aerospace Systems Technology Directorate located in Wright Patterson Air Force Base, OH, Edwards Air Force Base, CA, or Arnold Air Force Base, TN.  In FY 2022, the work and funding associated with advanced space technology demonstrations in Program 0603216F, Aerospace Propulsion, Project 634922, Space & Missile Rocket Propulsion, are transferred to Appropriation 3620F, Research, Development, Test & Evaluation, Space Force, Program 1206616SF, Space Advanced Technology Development/Demo, Project 634922, Space & Missile Rocket Propulsion, due to the creation of a new Appropriation for Space Force.  In FY 2022, the work and funding associated with missile rocket propulsion technologies in Program 0603216F, Aerospace Propulsion, are transferred from Project 634922, Space & Missile Rocket Propulsion, to Project 634093, Missile Rocket Propulsion Integ & Demo due to the creation of a new Appropriation for Space Force.  The Department of the Air Force technologies in this program are both enabling and enduring as we invest in maturing emerging technologies that address established mission gaps, and transformational technologies that address integrated enterprise capabilities intended to reshape the future force across air, space, and cyber warfighting domains. Development of transformational operational capabilities through advanced technology solutions focuses on five strategic capabilities: Global Persistent Awareness; Resilient Information Sharing; Rapid, Effective Decision-Making; Complexity, Unpredictability, and Mass; and Speed and Reach of Disruption and Lethality.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this program element would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020, 0602102F, 0602201F, 0602202F,0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 0602298F, and 1206601SF.  Projects in this program have been coordinated through the Department of Defense (DoD) Science and Technology (S&T) Executive Committee process to harmonize efforts and eliminate duplication.  This program is in Budget Activity 3, Advanced Technology Development because this budget activity includes development of subsystems and components and efforts to integrate subsystems and components into system prototypes for field experiments and/or tests in a simulated environment.",0,159.354,110.273,64.254,0,64.254,85.665,104.409,107.943,110.344,Aerospace Propulsion and Power Technology,USAF
