"SubCustomer.engines","Competition.multisum","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Army","1 Offer",192409297,49567755,147774644,222767526,224503093,273840879,78262442.67,44703285.5593,78270857.8076,12149513.7886,2608825.7881,33712137.2715,6905123.7346,150250.9804,267743.53,3164696.0324,27920047.4355,12480941.4453,26582194.2235,51310202.1797,88219466.4277,2463120.9091
"Army","2+ Offers",346252413,209262753,220395548,213282783,383362600,294235967.6563,264760797.1328,115799864.1343,134099544.718,286739735.1534,170752328.0997,95341685.908,141957821.8769,121737654.64,27537565.58,41108805.6146,61979271.2677,108122183.4058,163998451.9839,156070611.8257,117689302.5045,193258740.5697
"Army","No Comp.",942153720,596212622,794568007,788434029,579826510,706905872,912900446.669,739642757.0344,762570288.5926,1010602470.2711,829435601.4956,912071855.5514,914338482.3883,674732495.32,431851271.9207,244027576.9527,378664857.0924,983087044.1411,1081404798.3368,297980200.8721,815808418.5633,517203340.4168
"Army","Unlabeled",11855011,367782,1225282,2311726,1621616,963778,805992,162164.2198,348175.1901,202261.114,25210.9701,,,-2627,,,,0,0,,4507996.7969,0
"Navy","1 Offer",4949475,22238154,26632867,40585109,15450268,20541526,18401646.7416,146259059.1423,340182179.0499,903586528.6504,268007713.8362,331824173.7626,105020735.9307,180444929.9711,162240607.17,198353177.7067,120899689.4868,102131316.6169,99783727.21,40902959.3292,13240692.7494,17776838.1929
"Navy","2+ Offers",127082546,58103014,53082290,117743968,49893576,79572435,98711022.9251,93679283.7586,39220012.5651,91293516.1944,94313131.6442,108953142.3938,78439385.6172,127084361.66,86897348.5497,75644935.0535,100354643.2385,133598063.3138,130244451.6925,103484928.5865,104544886.4533,111364094.4481
"Navy","No Comp.",806539799,981757256,1553031563,2493256186,1643345065,2234823667.3279,2080938683.3423,1907054061.2588,2165901043.0703,2079002392.3491,1696339559.8274,2460383569.1816,2724822137.8615,2810460638.0522,2325417218.3234,1708945620.5469,1546270767.9305,1037015363.6794,1414347694.4227,1842060433.0764,1486658619.0793,1817086183.8094
"Navy","Unlabeled",140000,120594,616043,10110586,276262,2987909,2137955.25,676804.0801,594914.4452,593481.9189,132595.3281,6800,0,0,-11419,23715,0,0,0,0,,0
"F-35 JPO","No Comp.",79993785,173028690,11274834,177997178,41967866,206200219,334566619,435665739.6016,462667999.3281,409231661.7501,432377986.9395,88259829.4609,96044491.748,68220096.56,564526308.64,2201537368.83,3181282489.7803,803942159.041,3646091970.8891,5872553885.4475,3716457053.4572,1686331234.7344
"Air Force","1 Offer",643545282,386034612,428400468,312540638,60344456,70884020,76678832,115060155.3587,78035011.463,64930793.7294,61049012.6227,54827286.0662,57088427.9809,64114287.03,71761893.1294,87279689.6083,78405220.8141,84931605.1566,122142456.3895,156423122.9186,123514994.6763,92274883.0125
"Air Force","2+ Offers",818525331,1130960111,832906002,893735431.75,1230589439,1125727921.5235,1128388468.6504,1159475426.19,1501248617.4599,1763621543.5789,2074301130.0429,1646582466.4544,1532080553.8884,1167927875.9695,1720059216.6663,726936211.0914,665779697.1536,813537961.5991,777899519.5558,703154454.4824,614148303.7225,576059684.0113
"Air Force","No Comp.",1139973994,1669841460,1855009793,2324983777,2303408507,2652967416.1601,1769412833.1751,3264695040.0809,1942057876.3264,2115817538.8879,2030752847.617,1844220950.7821,1229869896.9535,1720123456.8307,1131171504.7577,1310751872.803,1327128209.8832,1854349854.7682,2377013305.3814,2219793281.1514,3226426349.1956,2772381196.0916
"Air Force","Unlabeled",-4857497,11272856,7016351,483890,1975413,277717,54051,2060559.4063,472997.9711,644556.3992,0,485000,1496152,350000,299000,747852,91875,643330.5898,6426428.6094,4062195.2803,11818055.0796,13450778.3516
"DLA and Other DoD","1 Offer",22022741,12761146,34422616,30669005,41560822,106265953,78086659,56846087,111645925.072,342230371.8175,327047039.6881,293689374.8103,317546891.5748,165222601.53,170485143.0455,146658372.3821,185114788.3993,165698609.1235,196837664.464,308277793.1065,215911094.6621,204504668.8455
"DLA and Other DoD","2+ Offers",176075440,232053019,258819607,252846053,190656897,230352185,254393929.9188,151945675.0898,179205117.3013,199475440.5916,266857529.1145,205771496.5108,240783320.2794,200864960.5685,153411610.6132,127586258.4947,143542233.8915,183972789.4149,245365376.7477,262264131.6483,237253164.2282,114025017.5666
"DLA and Other DoD","No Comp.",347137611,410715599,549445186,525503164.2793,463724042,580582096.5,443787225.6504,396466193.5195,457775593.9691,624009426.9811,1065525456.9679,916761644.3071,933917551.3127,954432905.0316,887482008.7918,699986956.5228,829683140.7975,1146514815.3681,1841702414.9248,2233968390.3053,1906832443.6786,1244523840.6039
"DLA and Other DoD","Unlabeled",2570831,771752,568866,9503547,7460593,1871223,5461818,4118335,5021471.9805,5022622.02,1068,18837376.9166,11295325.375,-94425.23,-12903,12937.5,-658876.6094,125395.3804,68209859.3018,416151.4325,4027997.5421,6548804.4942
