,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,,PB19,PB20,PB21,PB22,PB23,,,,,,,
USAF,0602102F,,Materials,,1,1,1,1,1,,,,,,,
USAF,0602201F,,Aerospace Vehicle Technologies,,0,0,2,2,1,,,,,,,
USAF,0602203F,,Aerospace Propulsion,,3,4,4,4,4,,,,,,,
USAF,0603033F,,Next Gen Platform Dev/Demo,,FALSE,FALSE,3,FALSE,FALSE,,,,,,,
USAF,0603216F,,Aerospace Propulsion and Power Technology,,4,4,4,4,3,,,,,,,
USAF,0604004F,,Advanced Engine Development,,FALSE,1,1,1,1,,,,,,,
USAF,0604858F,,Tech Transition Program,,2,1,0,0,0,,,,,,,
USAF,0604800F,,F-35 - EMD,,,1,0,0,0,,,,,,,
USAF,0207268F,,Aircraft Engine Component Improvement Program,,2,2,2,2,2,,,,,,,
Army,0603003A,Aviation Advanced Technology,,,1,,,,,,,,,,,
Army,0203752A,Aircraft Engine Component Improvement Program,,,1,,,,,,,,,,,
Army,0607139A,Improved Turbine Engine Program,,,1,,,,,,,,,,,
Army,0602211A,Aviation Technology,,,1,,,,,,,,,,,
Army,0601102A,Defense Research Sciences,,,1,,,,,,,,,,,
Navy,0604214M,,AV-8B Aircraft - Engine Dev,,,,,,1,,,,,,,
Navy,0604214N,AV-8B Aircraft-Engine Dev,,,1,,,,0,,,,,,,
Navy,0604214M,,AV-8B Aircraft - Engine Dev,,,,,,0,,,,,,,
Navy,0604262N,,V-22A,,,,,,1,,,,,,,
Navy,0604840M,,F-35B C2D2,,,,,,1,,,,,,,
Navy,0604840N,2556,Propulsion (PP),,,,,,2,,,,,,,
Navy,0604840N,2556,Propulsion (PP),,,,,,1,,,,,,,
Navy,0205633N,Aviation Improvements,,,1,,,,1,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Account,Organization,Program Number,Program Name,Project Number,project_name,Is it in PB23?,,,,,,,,,
,RDT&E,Army,0203752A,Aircraft Engine Component Improvement Program,106,Aircraft Engine Component Improvement Program (USA),Y,,,,,,,,,
,RDT&E,Army,0601102A,Defense Research Sciences,F20,Advanced Propulsion Research,Y,,,,,,,,,
,RDT&E,Army,0602211A,Aviation Technology,47B,Veh Prop & Struct Tech,No,,,,,,,,,
,RDT&E,Army,0603003A,Aviation Advanced Technology,447,ACFT Demo Engines,No,,,,,,,,,
,RDT&E,Army,0607139A,Improved Turbine Engine Program,ES6,Improved Turbine Engine Program,Y,,,,,,,,,
,RDT&E,Navy,0205633N,Aviation Improvements,1355,Aircraft Engine Component Improvement Program (USN),Y,,,,,,,,,
,RDT&E,Navy,0604214N,AV-8B Aircraft-Engine Dev,652,AV-8B,No,,,,,,,,,
,RDT&E,Navy,604800N,F135,2261,F135,"Unclear, this project, being a component of Program 604800N, does not have a separate listing",,,,,,,,,
,RDT&E,Navy,604800N,F136,2261,F136,"Unclear, this project, being a component of Program 604800N, does not have a separate listing",,,,,,,,,
,,,,,,,,,,,,,,,,
PB2023,,,,,,,,,,,,,,,,
Line#,Type,PE#,Project#,PE/Project/Accomplishments/Planned Programs Title,BA#,Description,Prior Years,FY 2021,FY 2022,FY 2023 Base,FY 2023 OCO,FY 2023 Total,FY 2024,FY 2025,FY 2026,FY 2027
5,PE,0602102F,,Materials,02,"This program develops advanced materials, processing, and inspection technologies to reduce life cycle costs and improve performance, sustainability, availability, affordability, supportability, reliability, and survivability of current and future Department of the Air Force systems and operations. The program has three projects that develop: structural, propulsion, and sub-systems materials and processes technologies; electronic, optical, and survivability materials and processes technologies; and sustainment materials, processes technologies, and advanced non-destructive inspection methodologies. Efforts in the program have been coordinated through the Department of Defense Science and Technology Executive Committee process to harmonize efforts and eliminate duplication. This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities.   Funds in this PE may be used to investigate specified technology advancements in air, space and/or cyber domains.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science and technology capabilities.  The use of program funds in this PE would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020F, 0602201F, 0602202F, 0602203F, 0602204F, 0602602F, 0602605F, 0602788F, 1206601SF, and 0602298F.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,228.115,220.960,134.795,0.000,134.795,135.031,139.922,134.785,138.457
5,Project,0602102F,624347,"Materials for Structures, Propulsion, and Subsystems",2,"This project develops the materials and processing technology base for aircraft, spacecraft, launch systems, and missiles to improve affordability, maintainability, and performance of current and future Department of the Air Force systems. A family of affordable lightweight materials is being developed, including metals, polymers, ceramics, metallic and nonmetallic composites, and hybrid materials to provide upgraded capabilities for existing aircraft, missile, and propulsion systems to meet the future system requirements. The project develops high-temperature turbine engine materials that will enable engine designs to improve turbine engine thrust-to-weight ratio, specific fuel consumption and affordability. Advanced high temperature protection materials are being developed that are affordable, lightweight, dimensionally stable, thermally conductive, and/or ablation and erosion resistant to meet aerospace and missile requirements. Alternative or replacement materials are being developed to maintain the performance of fielded operational systems. The project concurrently develops advanced processing methods to enable adaptive processing of aerospace materials.",0.000,109.001,104.876,52.794,0.000,52.794,51.077,54.207,55.514,56.879
6,PE,0602201F,,Aerospace Vehicle Technologies,02,"This program investigates, develops, and analyzes aerospace vehicle technologies in the primary areas of high speed systems, flight control technologies, aeromechanics, structure systems and nuclear system technology. The effort has five current projects, each focusing on a technology area critical to the Department of the Air Force. The High Speed Systems Technology project develops component level vehicle technologies for expendable and reusable high speed/hypersonic aerospace systems. The Flight Controls and Pilot-Vehicle Interface project develops technologies that enable maximum affordable capability from manned, remotely-piloted and autonomous aerospace vehicles.  The Aeromechanics and Integration project designs advanced aerodynamic vehicle configurations that are developed and analyzed through simulations, experiments, and multi-disciplinary analyses.  It also develops design techniques, incorporating vehicle, inter-vehicle, and intra-vehicle control systems. The Structures project develops and exploits new materials, and fabrication processes.  The Nuclear System Technology project provides science and technology to preserve nuclear deterrence for future generations.   Funds in this program element may be used to investigate specified technology advancements in air, space and/or cyber domains.  This program element may include necessary civilian pay expenses required to manage, execute, and deliver science & technology capabilities. The use of program funds in this program element would be in addition to the civilian pay expenses budgeted in program elements 0601102F, 0602020F, 0602102F, 0602203F,0602202F, 0602204F, 0602602F, 0602605F, 0602788F, 0602298F, and 1206601SF.  This program is in Budget Activity 2, Applied Research because this budget activity includes studies, investigations, and non-system specific technology efforts directed toward general military needs with a view toward developing and evaluating the feasibility and practicality of proposed solutions and determining their parameters.",0.000,148.576,183.032,159.453,0.000,159.453,163.842,166.249,169.389,173.108
